customer_id,first_purchase,last_purchase,frequency,monetary,avg_order_value,recency,customer_life_cycle,purchase_frequency_monthly,gender,age,member_level,registration_date,retention_rate,clv,acquisition_cost,retention_cost,clv_cac_ratio,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment,Cluster,Cluster_Name
C015,2023-02-08,2023-02-08,1,50451.294145140775,50451.294145140775,82,0,1.0,Female,31,Bronze,2022-10-31,0.7,98882.83205187859,100,5045.129414514078,988.8283205187859,2,1,1,1.2999999999999998,流失风险客户,1,铜牌客户
C016,2023-03-22,2023-03-26,2,77273.83520451208,38636.91760225604,36,4,15.0,Male,67,Bronze,2022-09-11,0.7,835586.5794078985,100,7727.383520451209,8355.865794078985,4,3,2,2.8999999999999995,一般价值客户,3,银牌客户
C017,2023-02-22,2023-03-13,2,62950.70860613513,31475.354303067565,49,19,3.1578947368421053,Female,26,Gold,2022-05-20,0.9,500737.2313015791,100,6295.070860613513,5007.372313015791,3,3,1,2.1999999999999997,一般价值客户,1,铜牌客户
C019,2023-03-04,2023-04-03,3,198792.22328956635,66264.07442985545,28,30,3.0,Female,19,Gold,2022-06-09,0.9,1045311.3311046847,100,19879.222328956635,10453.113311046847,5,4,4,4.300000000000001,高价值客户,0,钻石客户
C020,2023-01-17,2023-04-04,3,298689.90878169506,99563.30292723169,27,77,1.1688311688311688,Male,37,Gold,2022-01-09,0.9,721272.6731790198,100,29868.99087816951,7212.726731790198,5,4,5,4.7,高价值客户,2,金牌客户
C022,2023-01-07,2023-03-19,2,162034.4634012922,81017.2317006461,43,71,0.8450704225352113,Male,64,Bronze,2022-04-09,0.7,190366.83271103047,100,16203.44634012922,1903.6683271103047,3,3,3,3.0,一般价值客户,3,银牌客户
C023,2023-02-27,2023-02-27,1,37445.528972028405,37445.528972028405,63,0,1.0,Female,24,Bronze,2022-05-27,0.7,73366.1928526373,100,3744.5528972028405,733.6619285263729,2,1,1,1.2999999999999998,流失风险客户,1,铜牌客户
C024,2023-02-07,2023-03-15,3,310004.4500873385,103334.8166957795,47,36,2.5,Female,61,Gold,2022-10-31,0.9,1389446.902256683,100,31000.445008733852,13894.46902256683,3,4,5,4.1,高价值客户,0,钻石客户
C025,2023-01-21,2023-01-21,1,99629.82667444,99629.82667444,100,0,1.0,Female,25,Silver,2022-07-27,0.8,288336.77210559,100,9962.982667444001,2883.3677210559,1,1,2,1.4,流失风险客户,1,铜牌客户
C026,2023-03-07,2023-04-01,2,182332.47776070188,91166.23888035094,30,25,2.4,Female,64,Bronze,2022-05-11,0.7,407292.3819137955,100,18233.247776070188,4072.923819137955,4,3,3,3.3,有增长潜力客户,3,银牌客户
C027,2023-01-25,2023-02-01,2,332479.3446971398,166239.6723485699,89,7,8.571428571428571,Female,52,Bronze,2022-06-01,0.7,2140043.4068391584,100,33247.93446971398,21400.434068391583,1,3,5,3.2,有增长潜力客户,0,钻石客户
C028,2023-01-08,2023-02-26,5,198848.00289677066,39769.60057935413,64,49,3.061224489795918,Female,31,Bronze,2022-02-23,0.7,285017.39633799944,100,19884.800289677067,2850.1739633799943,2,5,4,3.7,有增长潜力客户,2,金牌客户
C029,2023-01-02,2023-03-27,2,256070.82746951532,128035.41373475766,35,84,0.7142857142857143,Female,34,Bronze,2022-04-30,0.7,278097.93741131393,100,25607.082746951535,2780.9793741131393,4,3,4,3.6999999999999997,有增长潜力客户,3,银牌客户
C030,2023-01-18,2023-01-18,1,645.1466934965061,645.1466934965061,103,0,1.0,Female,53,Gold,2022-06-10,0.9,3292.7064773733864,100,64.51466934965062,32.92706477373386,1,1,1,1.0,流失风险客户,1,铜牌客户
C032,2023-01-05,2023-04-05,7,260086.8672593209,37155.266751331554,26,90,2.3333333333333335,Male,57,Gold,2022-03-16,0.9,559850.9016457915,100,26008.68672593209,5598.509016457915,5,5,5,5.0,高价值客户,2,金牌客户
C033,2023-01-23,2023-08-04,5,223188.48910815193,44637.69782163038,-95,193,0.7772020725388601,Female,21,Silver,2022-04-23,0.8,213435.3401222965,100,22318.848910815195,2134.353401222965,5,5,4,4.6,高价值客户,2,金牌客户
C034,2023-03-17,2023-03-17,1,111404.99618464067,111404.99618464067,45,0,1.0,Female,19,Bronze,2022-04-14,0.7,218470.84568258896,100,11140.499618464068,2184.7084568258897,3,1,2,2.0,流失风险客户,1,铜牌客户
C036,2023-01-03,2023-03-30,2,121826.299638112,60913.149819056,32,86,0.6976744186046512,Male,59,Gold,2022-09-11,0.9,270983.94474201207,100,12182.629963811201,2709.839447420121,4,3,2,2.8999999999999995,一般价值客户,3,银牌客户
C037,2023-02-03,2023-02-28,3,170993.24257430917,56997.74752476972,62,25,3.5999999999999996,Female,21,Silver,2022-08-15,0.8,573428.684941898,100,17099.32425743092,5734.28684941898,2,4,3,3.0,一般价值客户,1,铜牌客户
C038,2023-03-14,2023-03-14,1,114831.16923348463,114831.16923348463,48,0,1.0,Male,46,Gold,2022-04-22,0.9,603775.7628150393,100,11483.116923348463,6037.7576281503925,3,2,2,2.3,一般价值客户,3,银牌客户
C039,2023-01-22,2023-04-10,4,208929.07176452794,52232.267941131984,21,78,1.5384615384615383,Male,35,Silver,2022-04-09,0.8,309684.3219174403,100,20892.907176452794,3096.8432191744027,5,5,4,4.6,高价值客户,2,金牌客户
C040,2023-04-09,2023-04-09,1,74965.526958016,74965.526958016,22,0,1.0,Male,43,Silver,2022-06-02,0.8,216931.53901513357,100,7496.5526958016,2169.3153901513356,5,2,2,2.9000000000000004,一般价值客户,3,银牌客户
C041,2023-01-27,2023-04-07,3,265232.93636031647,88410.97878677216,24,70,1.2857142857142856,Male,61,Silver,2022-12-15,0.8,419924.9110479865,100,26523.29363603165,4199.249110479865,5,4,5,4.7,高价值客户,2,金牌客户
C042,2023-01-10,2023-02-05,2,38109.88504525113,19054.942522625566,85,26,2.3076923076923075,Male,51,Bronze,2022-12-04,0.7,82654.80884716341,100,3810.9885045251135,826.5480884716341,1,4,1,1.9,流失风险客户,1,铜牌客户
C043,2023-01-01,2023-01-01,1,195172.99596432943,195172.99596432943,120,0,1.0,Female,27,Bronze,2022-07-13,0.7,382819.33255511726,100,19517.299596432942,3828.1933255511726,1,2,3,2.1,流失风险客户,1,铜牌客户
C044,2023-01-15,2023-03-06,4,72386.66048949276,18096.66512237319,56,50,2.4,Female,53,Bronze,2022-11-06,0.7,102484.13090568324,100,7238.666048949276,1024.8413090568324,3,5,2,3.2,有增长潜力客户,3,银牌客户
C045,2023-01-11,2023-01-11,1,16632.53402095652,16632.53402095652,110,0,1.0,Female,31,Silver,2022-06-12,0.8,48052.59230167755,100,1663.2534020956518,480.5259230167755,1,2,1,1.2999999999999998,流失风险客户,1,铜牌客户
C048,2023-03-21,2023-03-21,1,175840.82311409732,175840.82311409732,41,0,1.0,Male,32,Platinum,2022-06-10,0.95,1412522.5839364384,100,17584.082311409733,14125.225839364384,4,2,3,3.0,一般价值客户,0,钻石客户
C049,2023-02-13,2023-02-23,5,342903.5045406234,68580.70090812468,67,10,15.0,Female,25,Bronze,2022-03-09,0.7,1606692.6638601166,100,34290.35045406234,16066.926638601166,2,5,5,4.1,高价值客户,0,钻石客户
